year,population_growth_rate_factor,gdp_growth_rate_factor,energy_intensity_decrease_rate_factor,fossil_fuel_decrease_rate_factor
2025,0.85,0.9,1.5,1.8
2030,0.8,0.85,1.7,2.0
2035,0.75,0.8,1.9,2.2
2040,0.7,0.75,2.1,2.4
2045,0.65,0.7,2.3,2.6
