year,population_growth_rate_factor,gdp_growth_rate_factor,energy_intensity_decrease_rate_factor,fossil_fuel_decrease_rate_factor
2025,0.95,0.98,1.05,1.05
2030,0.92,0.96,1.1,1.1
2035,0.9,0.94,1.15,1.15
2040,0.88,0.92,1.2,1.2
2045,0.85,0.9,1.25,1.25
